Date;Arena;Individual;Walking;Eating;Water_bathing;Mud_bathing;Heat_bathing;Resting;Active;Inactive;OOS;Observed;DaysCount
14/03/2021;Old;Dolly;24;68;0;0;67;562;92;629;0;721;1
14/03/2021;Old;Polly;20;104;0;0;98;499;124;597;0;721;1
14/03/2021;Old;Priscilla;69;48;88;0;19;497;205;516;0;721;1
15/03/2021;Old;Dolly;15;60;0;0;147;497;75;644;2;719;2
15/03/2021;Old;Polly;47;76;0;0;126;470;123;596;1;719;2
15/03/2021;Old;Priscilla;43;24;3;0;120;528;70;648;1;718;2
16/03/2021;Old;Dolly;23;52;0;0;48;597;75;645;0;720;3
16/03/2021;Old;Polly;68;83;2;0;225;343;153;568;0;721;3
16/03/2021;Old;Priscilla;109;69;10;0;92;440;188;532;0;720;3
17/03/2021;Old;Dolly;38;40;10;0;16;616;88;632;0;720;4
17/03/2021;Old;Polly;54;57;4;0;147;458;115;605;0;720;4
17/03/2021;Old;Priscilla;74;47;11;0;4;584;132;588;0;720;4
18/03/2021;Old;Dolly;29;70;2;0;97;521;101;618;0;719;5
18/03/2021;Old;Polly;48;101;0;0;184;387;149;571;0;720;5
18/03/2021;Old;Priscilla;66;50;2;0;218;384;118;602;0;720;5
09/09/2021;New;Dolly;26;22;0;349;0;132;48;481;192;529;1
09/09/2021;New;Polly;14;59;0;337;0;16;73;353;294;426;1
09/09/2021;New;Priscilla;0;0;0;447;0;0;0;447;272;447;1
10/09/2021;New;Dolly;6;36;0;676;0;0;42;676;1;718;2
10/09/2021;New;Polly;43;235;52;361;18;11;330;390;1;720;2
10/09/2021;New;Priscilla;83;188;82;275;56;36;353;367;0;720;2
11/09/2021;New;Dolly;64;330;4;253;66;0;398;319;2;717;3
11/09/2021;New;Polly;57;218;2;242;14;18;277;274;169;551;3
11/09/2021;New;Priscilla;48;164;0;302;53;51;212;406;102;618;3
12/09/2021;New;Dolly;46;191;0;160;23;283;237;466;17;703;4
12/09/2021;New;Polly;59;160;8;0;256;12;227;268;224;495;4
12/09/2021;New;Priscilla;27;136;0;215;58;283;163;556;0;719;4
13/09/2021;New;Dolly;25;193;0;211;284;8;218;503;0;721;5
13/09/2021;New;Polly;42;199;0;0;406;22;241;428;50;669;5
13/09/2021;New;Priscilla;26;320;0;52;98;217;346;367;6;713;5
14/09/2021;New;Dolly;48;74;0;419;64;115;122;598;0;720;6
14/09/2021;New;Polly;67;59;0;341;227;17;126;585;9;711;6
14/09/2021;New;Priscilla;99;204;5;181;159;51;308;391;22;699;6
15/09/2021;New;Dolly;70;226;0;0;423;2;296;425;0;721;7
15/09/2021;New;Polly;18;133;0;323;212;0;151;535;34;686;7
15/09/2021;New;Priscilla;34;180;0;300;197;8;214;505;0;719;7
16/09/2021;New;Dolly;73;145;0;6;309;175;218;490;12;708;8
16/09/2021;New;Polly;112;159;0;299;99;4;271;402;48;673;8
16/09/2021;New;Priscilla;30;231;0;277;142;16;261;435;24;696;8
17/09/2021;New;Dolly;51;169;0;343;127;0;220;470;30;690;9
17/09/2021;New;Polly;68;117;0;325;179;0;185;504;31;689;9
17/09/2021;New;Priscilla;43;209;0;255;153;17;252;425;43;677;9
18/09/2021;New;Dolly;35;113;0;152;294;80;148;526;46;674;10
18/09/2021;New;Polly;48;165;0;153;273;2;213;428;78;641;10
18/09/2021;New;Priscilla;56;235;0;142;250;33;291;425;4;716;10
